id,NonEmptyCount,,numRef,referedFreq,q13,suspicious_variable,network.size.variable,network.size,rowNum,ridc,recruiter.id,node_1_recruiter,node_2_id_respondent_recruit,recruiter_id,composite_risk,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10,category_11,category_12,category_13,sum_categories,whether_exploitation,wave,q1,,,,q5,q6,q7,q8,q8_a,q9,q10,q11,q12,q14,q15,q16,q17,q18_0,q18_1,q18_2,q18_3,q18_4,q18_5,q18_6,,q19,q20,q21,q22,q23,q24,q25,x4h_alin_sa_mga_sumusunod_na_elemento_ang_mahalaga_sa_iyong_kasiyahan,q26,q26_a,q26_b,q26_c,q26_d,q26_e,q26_f,q26_g,q27,q28,q29,q30,q31,q32,q33,q34,,q35,q36,q37,q38,q39,q40,q41,q42,q43,q44,q44_a,q44_b,q45,q46,q47,q48,q48_a,q49,q50,q51,q51_a,q52,q53,q54,q55_0,q55_1,q55_2,q55_3,q55_4,q55_5,q55_6,q55_7,q55_8,q55_9,q56,q57_0,q57_1,q57_2,q57_3,q57_4,q58,,q59,,q60,q61,q62,q63,q64,q65,q66,q67_0,q67_1,q67_2,q67_3,q67_4,q67_5,q67_6,q67_7,q67_8,q67_9,q67_10,q67_11,q67_12,,q68,q69,q70,q71,q72,q73,q74,q75,q76,q77,q78,q79,q80,q81,q82_92_0,q82_92_1,q82_92_2,q82_92_3,q82_92_4,q82_5,q82_6,q82_7,q82_8,q82_9,q82_10,q82_11,q82_12,q82_13,q82_14,q82_15,q82_16,q82_17,q82_18,q82_19,,q83_88,q84_89,,,,,,,,q102,q103,q103_a,q104
13,10,,10,1,1,1,10,10,10,seed,-1,NA,13,-1,0.1875,0,0,0.045,0,0,0,0,0.09,0,0.0225,0.03,0,0,0.1875,1,1,employee,,,,0,4,3,0,Filipino,3,1,6,0,1,4,1,1,1,0,0,0,0,0,0,,0,0,1,0,0,3,1,NA,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1,0,,1,4,1,11,1,1,1,2,1,1,1,1,1,3,3,3,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,2,,0,3,3,3,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,3,3,1,3,1,1,3,0,1,1,1,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,,,,,,,,0,0,NA,0
13,10,,10,1,1,1,10,10,10,seed,-1,NA,13,-1,0.1875,0,0,0.045,0,0,0,0,0.09,0,0.0225,0.03,0,0,0.1875,1,1,employee,,,,0,4,3,0,Filipino,3,1,6,0,1,4,1,1,1,0,0,0,0,0,0,,0,0,1,0,0,3,1,NA,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1,0,,1,4,1,11,1,1,1,2,1,1,1,1,1,3,3,3,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,2,,0,3,3,3,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,3,3,1,3,1,1,3,0,1,1,1,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,,,,,,,,0,0,NA,0
13,10,,10,1,1,1,10,10,10,seed,-1,NA,13,-1,0.1875,0,0,0.045,0,0,0,0,0.09,0,0.0225,0.03,0,0,0.1875,1,1,employee,,,,0,4,3,0,Filipino,3,1,6,0,1,4,1,1,1,0,0,0,0,0,0,,0,0,1,0,0,3,1,NA,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1,0,,1,4,1,11,1,1,1,2,1,1,1,1,1,3,3,3,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,2,,0,3,3,3,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,3,3,1,3,1,1,3,0,1,1,1,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,,,,,,,,0,0,NA,0
13,10,,10,1,1,1,10,10,10,seed,-1,NA,13,-1,0.1875,0,0,0.045,0,0,0,0,0.09,0,0.0225,0.03,0,0,0.1875,1,1,employee,,,,0,4,3,0,Filipino,3,1,6,0,1,4,1,1,1,0,0,0,0,0,0,,0,0,1,0,0,3,1,NA,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1,0,,1,4,1,11,1,1,1,2,1,1,1,1,1,3,3,3,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,2,,0,3,3,3,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,3,3,1,3,1,1,3,0,1,1,1,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,,,,,,,,0,0,NA,0
13,10,,10,1,1,1,10,10,10,seed,-1,NA,13,-1,0.1875,0,0,0.045,0,0,0,0,0.09,0,0.0225,0.03,0,0,0.1875,1,1,employee,,,,0,4,3,0,Filipino,3,1,6,0,1,4,1,1,1,0,0,0,0,0,0,,0,0,1,0,0,3,1,NA,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1,0,,1,4,1,11,1,1,1,2,1,1,1,1,1,3,3,3,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,2,,0,3,3,3,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,3,3,1,3,1,1,3,0,1,1,1,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,,,,,,,,0,0,NA,0
13,10,,10,1,1,1,10,10,10,seed,-1,NA,13,-1,0.1875,0,0,0.045,0,0,0,0,0.09,0,0.0225,0.03,0,0,0.1875,1,1,employee,,,,0,4,3,0,Filipino,3,1,6,0,1,4,1,1,1,0,0,0,0,0,0,,0,0,1,0,0,3,1,NA,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1,0,,1,4,1,11,1,1,1,2,1,1,1,1,1,3,3,3,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,2,,0,3,3,3,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,3,3,1,3,1,1,3,0,1,1,1,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,,,,,,,,0,0,NA,0
13,10,,10,1,1,1,10,10,10,seed,-1,NA,13,-1,0.1875,0,0,0.045,0,0,0,0,0.09,0,0.0225,0.03,0,0,0.1875,1,1,employee,,,,0,4,3,0,Filipino,3,1,6,0,1,4,1,1,1,0,0,0,0,0,0,,0,0,1,0,0,3,1,NA,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1,0,,1,4,1,11,1,1,1,2,1,1,1,1,1,3,3,3,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,2,,0,3,3,3,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,3,3,1,3,1,1,3,0,1,1,1,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,,,,,,,,0,0,NA,0
13,10,,10,1,1,1,10,10,10,seed,-1,NA,13,-1,0.1875,0,0,0.045,0,0,0,0,0.09,0,0.0225,0.03,0,0,0.1875,1,1,employee,,,,0,4,3,0,Filipino,3,1,6,0,1,4,1,1,1,0,0,0,0,0,0,,0,0,1,0,0,3,1,NA,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1,0,,1,4,1,11,1,1,1,2,1,1,1,1,1,3,3,3,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,2,,0,3,3,3,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,3,3,1,3,1,1,3,0,1,1,1,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,,,,,,,,0,0,NA,0
13,10,,10,1,1,1,10,10,10,seed,-1,NA,13,-1,0.1875,0,0,0.045,0,0,0,0,0.09,0,0.0225,0.03,0,0,0.1875,1,1,employee,,,,0,4,3,0,Filipino,3,1,6,0,1,4,1,1,1,0,0,0,0,0,0,,0,0,1,0,0,3,1,NA,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1,0,,1,4,1,11,1,1,1,2,1,1,1,1,1,3,3,3,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,2,,0,3,3,3,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,3,3,1,3,1,1,3,0,1,1,1,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,,,,,,,,0,0,NA,0
14,4,,4,0,1,1,4,4,11,93,93,93,14,93,0.7125,0.09,0.09,0.09,0,0.045,0.09,0.09,0.09,0,0.0675,0.06,1,1,0.7125,1,2,employee,,,,0,3,1,1,Filipino,2,1,5,2,4,1,5,1,1,1,0,1,0,0,0,,0,2,3,2,2,2,4,NA,0,2,2,0,0,0,0,0,0,0,2,2,2,2,5,0,,5,2,1,3,1,0,1,2,4,0,0,1,0,2,0,0,3,6,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,,0,,0,2,2,2,4,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,,7,2,2,5,2,0,5,2,0,5,0,6,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,5,5,,,,,,,,0,0,NA,0
14,4,,4,0,1,1,4,4,11,93,93,93,14,93,0.7125,0.09,0.09,0.09,0,0.045,0.09,0.09,0.09,0,0.0675,0.06,1,1,0.7125,1,2,employee,,,,0,3,1,1,Filipino,2,1,5,2,4,1,5,1,1,1,0,1,0,0,0,,0,2,3,2,2,2,4,NA,0,2,2,0,0,0,0,0,0,0,2,2,2,2,5,0,,5,2,1,3,1,0,1,2,4,0,0,1,0,2,0,0,3,6,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,,0,,0,2,2,2,4,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,,7,2,2,5,2,0,5,2,0,5,0,6,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,5,5,,,,,,,,0,0,NA,0
14,4,,4,0,1,1,4,4,11,93,93,93,14,93,0.7125,0.09,0.09,0.09,0,0.045,0.09,0.09,0.09,0,0.0675,0.06,1,1,0.7125,1,2,employee,,,,0,3,1,1,Filipino,2,1,5,2,4,1,5,1,1,1,0,1,0,0,0,,0,2,3,2,2,2,4,NA,0,2,2,0,0,0,0,0,0,0,2,2,2,2,5,0,,5,2,1,3,1,0,1,2,4,0,0,1,0,2,0,0,3,6,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,,0,,0,2,2,2,4,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,,7,2,2,5,2,0,5,2,0,5,0,6,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,5,5,,,,,,,,0,0,NA,0
14,4,,4,0,1,1,4,4,11,93,93,93,14,93,0.7125,0.09,0.09,0.09,0,0.045,0.09,0.09,0.09,0,0.0675,0.06,1,1,0.7125,1,2,employee,,,,0,3,1,1,Filipino,2,1,5,2,4,1,5,1,1,1,0,1,0,0,0,,0,2,3,2,2,2,4,NA,0,2,2,0,0,0,0,0,0,0,2,2,2,2,5,0,,5,2,1,3,1,0,1,2,4,0,0,1,0,2,0,0,3,6,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,,0,,0,2,2,2,4,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,,7,2,2,5,2,0,5,2,0,5,0,6,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,5,5,,,,,,,,0,0,NA,0
67,1,,1,0,1,0,1,1,12,61,61,61,67,61,0.2025,0,0,0.09,0,0,0,0,0,0,0.0225,0.09,0,0,0.2025,1,2,self-employed,,,,0,4,3,1,Filipino,3,1,5,0,0,4,6,1,1,1,0,0,0,0,1,,1,2,0,0,1,3,0,NA,1,1,1,1,1,1,1,1,1,1,3,1,0,2,0,1,,0,4,1,15,1,1,1,3,0,1,1,1,1,2,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,,0,2,2,3,0,0,3,1,0,0,0,1,0,1,0,1,0,0,0,0,,0,3,3,0,0,0,0,2,1,0,0,0,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,,,,,,,,1,0,NA,0
75,2,,2,0,1,1,2,2,13,seed,-1,NA,75,-1,0.3075,0.045,0,0.045,0.09,0.045,0,0,0,0,0.0225,0.06,1,0,0.3075,1,1,self-employed,,,,0,1,0,1,Española ,3,1,4,1,1,0,0,0,1,1,0,0,0,0,0,,3,2,0,3,3,2,0,NA,0,1,1,0,0,0,0,0,0,0,2,0,1,2,0,2,,0,3,1,0,1,1,1,3,0,0,1,2,1,0,3,2,0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,,0,2,2,4,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,4,3,1,0,0,0,3,0,0,1,0,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,,,,,,,,1,3,NA,0
75,2,,2,0,1,1,2,2,13,seed,-1,NA,75,-1,0.3075,0.045,0,0.045,0.09,0.045,0,0,0,0,0.0225,0.06,1,0,0.3075,1,1,self-employed,,,,0,1,0,1,Española ,3,1,4,1,1,0,0,0,1,1,0,0,0,0,0,,3,2,0,3,3,2,0,NA,0,1,1,0,0,0,0,0,0,0,2,0,1,2,0,2,,0,3,1,0,1,1,1,3,0,0,1,2,1,0,3,2,0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,,0,2,2,4,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,4,3,1,0,0,0,3,0,0,1,0,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,,,,,,,,1,3,NA,0
79,1,,1,0,1,0,1,1,14,seed,-1,NA,79,-1,0.21,0,0,0.09,0,0,0,0,0.09,0,0,0.03,0,0,0.21,1,1,self-employed,,,,0,3,0,1,Venezolana,3,1,5,1,1,2,4,1,1,1,0,0,0,0,0,,2,3,1,1,2,0,1,NA,2,4,2,1,1,2,2,2,1,3,3,1,1,2,0,2,,1,4,1,20,1,1,1,2,1,1,1,1,1,3,3,3,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,,0,,0,2,4,3,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,3,3,0,1,0,0,4,0,0,1,1,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,,,,,,,,1,3,NA,0
34,1,,2,0,2,0,2,2,16,93,93,93,34,93,0.1125,0,0,0.09,0,0,0,0,0,0,0.0225,0,0,0,0.1125,1,2,employee,,,,0,4,0,1,Filipino,3,1,6,0,0,4,2,0,1,1,1,1,1,1,0,,1,2,0,2,2,2,0,NA,2,3,0,0,2,2,2,0,0,0,3,0,0,2,0,1,,0,4,1,9.50 ,1,0,0,3,0,1,1,1,1,2,3,1,2,0,0,1,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,,0,0,3,3,0,0,2,1,0,0,0,1,1,1,0,1,0,1,0,0,,0,3,3,0,0,0,0,0,0,0,0,0,2,NA,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,NA,NA,,,,,,,,1,0,NA,0
47,1,,2,0,2,0,2,2,18,73,73,73,47,73,0.4125,0.045,0.09,0.045,0,0.045,0,0,0,0.09,0.0675,0.03,1,0,0.4125,1,2,agency worker,,,,0,4,0,1,Cuba,3,1,6,1,2,2,0,0,1,1,1,0,0,1,1,,1,3,0,1,2,0,0,NA,0,1,0,0,0,0,0,0,0,0,3,0,2,3,0,0,,0,2,2,8,0,0,1,3,0,0,1,1,0,3,3,1,5,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,1,,0,,1,0,2,2,0,0,3,0,0,1,0,0,0,0,1,1,0,1,0,0,,0,4,3,0,4,0,0,0,2,0,0,0,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,,,,,,,,3,NA,NA,0
82,3,,3,0,2,1,3,3,20,78,78,78,82,78,0.075,0,0,0.045,0,0,0,0,0,0,0,0.03,0,0,0.075,1,2,self-employed,,,,0,1,1,1,Dominicana ,2,1,5,1,0,0,1,0,1,0,0,0,0,0,0,,3,3,0,1,3,0,0,NA,0,4,1,0,0,1,0,0,2,1,3,0,1,3,0,2,,0,4,0,400 ,1,1,1,3,0,1,1,1,1,3,3,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,,0,1,2,3,0,0,3,0,0,1,0,0,0,1,0,1,0,1,0,0,,0,3,3,0,1,1,0,3,3,0,1,0,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,,,,,,,,0,3,NA,0
